有車位,透天/大樓,總價元,主建物面積,電梯
1,1,10100000,108.71,1
1,1,9990000,111.04,1
1,1,8830000,91.87,1
1,1,8600000,90.53,1
1,1,8590000,90.53,1
1,1,8970000,91.97,1
1,1,8340000,86.79,1
1,1,11040000,116.52,1
0,0,27500000,264.67,1
0,0,25400000,265.76,1
0,0,25500000,264.12,1
0,0,36650000,301.25,1
0,0,39600000,346.99,1
0,0,24350000,263.16,1
0,1,8150000,122.47,1
0,1,1280000,18.14,1
0,1,24455000,247.4,1
1,1,6400000,103.05,1
1,1,3800000,40.4,1
1,1,7300000,83.76,1
1,1,7500000,85.48,1
1,1,9900000,56.19,1
1,1,9980000,56.19,1
1,1,7050000,58.57,1
1,1,6400000,89.35,1
0,1,3000000,64.29,0
0,1,4500000,89.59,0
0,1,2250000,44.8,0
0,1,2400000,89.15,0
0,1,4800000,64.92,0
0,1,3950000,90.07,0
0,1,3650000,67.1,0
0,1,4350000,80.21,0
0,1,3480000,78.45,0
0,1,2500000,80,0
0,1,4100000,117.16,0
0,1,8200000,63.41,0
0,1,2700000,79.23,0
0,0,2640000,64.81,0
0,0,13800000,159,0
0,0,10570476,318.24,0
0,0,1598100,80.4,0
0,0,4540000,103.59,0
0,0,23800000,183.91,0
0,0,6020000,71.98,0
0,0,3500000,79.18,0
0,0,7000000,93.6,0
0,0,2500000,73.8,0
0,0,8000000,93.84,0
0,0,11680000,64.16,0
0,0,16380000,176.66,0
0,0,11750000,115.02,0
0,0,11000000,132.88,0
0,0,13980000,109.14,0
0,0,10300000,78.68,0
0,0,13900000,200.42,0
0,0,13150000,194.28,0
0,0,19000000,184.36,0
0,0,18880000,184.36,0
0,0,13800000,158.59,0
0,0,22500000,180.12,0
